id,title,description,price,other_features,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11
i_00376,RIDLEY Fenix sl6 - AUTRE - 5660,"Vélo Ridley Fenix sl6 taille M en très bon état ! Entretenu chaque année. Dernier entretien avril 2025 (changement de chaîne, de plaquettes de frein, réglages, etc.) Équipé en shimano Ultegra (freins et groupe de transmission) Pédalier avant rotor 2 plateaux - cassette arrière 11 vitesses Roues DT Swift alu montés en 28 2ème jeu de roues alu avec pneus enduro 28 pour l'hiver Tige de selle carbone, Selle Italia carbone 3 potences de cintre fournis de 130mm à 50mm pour un réglages de position idéal Prêt à rouler Quelques petites traces du temps mais vraiment rien de grave IDEAL POUR DES PERSONNES ENTRE 1m72 et 1m85 désirant un vélo polivalant, confortable, performant et SURTOUT sans frais à prévoir.",1990 €,"{'Année': '2020', 'État': 'Très bon état', 'Groupe': 'Shimano Ultegra', 'Taille du cadre': 'M', 'Matière principale': 'Carbone', 'Couleurs principales': 'Orange', 'Type de freinage': 'Disques', 'Pratique': 'Route', 'Nombres de vitesses': '11 vitesses'}",/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00376_0.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00376_1.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00376_2.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00376_3.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00376_4.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00376_5.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00376_6.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00376_7.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00376_8.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00376_9.jpg,
i_00377,CANYON ENDURACE CF SL 8 DI2 Ultegra - CANYON - 13004,CANYON ENDURACE CF SL 8 DI2 Ultegra comme neufAvec jantes en carbone à pneus.Vélo de première main.,3500 €,"{'Année': '2022', 'État': 'Comme neuf', 'Groupe': 'Shimano Ultegra Di2', 'Taille du cadre': 'S', 'Diametre roues': '700 / 28""', 'Matière principale': 'Carbone', 'Couleurs principales': 'Jaune', 'Type de freinage': 'Disques', 'Pratique': 'Route', 'Nombres de vitesses': '12 vitesses', 'Groupe électrique (AXS, Di2, eTap, ..)': 'Oui'}",/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00377_0.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00377_1.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00377_2.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00377_3.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00377_4.jpg,,,,,,
i_00378,Cadre spécialized tarmac SL7 - SPECIALIZED - 58000,"Cadre spécialized tarmac sl 7 disc , achat neuf en novembre 2023, facture d'achat, parfait état, pas de chutes et autres 6000 km.Cadre vendu avec boitier de pédalier , tige de selle carbone, potence s works , cintre spécialized.Taille 54 pour cycliste  de taille comprise entre 168 cm et 180 cm environ suivant morphologie. Pédalier sram rival disponible en  48X35  1500 km+ 85 euros.",2350 €,"{'Année': '2023', 'État': 'Très bon état', 'Groupe': 'SRAM Rival', 'Taille du cadre': '54 cm', 'Diametre roues': '700 / 28""', 'Matière principale': 'Carbone', 'Couleurs principales': 'Blanc', 'Type de freinage': 'Disques', 'Nombres de vitesses': '12 vitesses', 'Groupe électrique (AXS, Di2, eTap, ..)': 'Oui'}",/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00378_0.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00378_1.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00378_2.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00378_3.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00378_4.jpg,,,,,,
i_00379,Orbea Gain M30i coloris 2024 - ORBEA - 82000,"Orbea Gain M30i coloris 2024Cadre et fourche carboneDisponibles en taille XS et MMoteur Mahle X20Batterie Mahle 353WhTransmission Shimano 105 DI2 2 plateaux 50-34 12 vitesses 11-36Vélo neuf, 0kmVendu avec facture et garantieExpédition possible dans toute la FrancePossibilité de financement",6399 €,"{'État': 'Neuf', 'Groupe': 'Shimano 105', 'Taille du cadre': 'S/M', 'Diametre roues': '700 / 28""', 'Matière principale': 'Carbone', 'Couleurs principales': 'Multicolore', 'Type de freinage': 'Disques', 'Pratique': 'Route', 'Nombres de vitesses': '12 vitesses', 'Groupe électrique (AXS, Di2, eTap, ..)': 'Oui'}",/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00379_0.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00379_1.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00379_2.jpg,,,,,,,,
i_00380,Velo de route enfant 8-12 ans - VITUS - 39210,Vélo de route enfant 8-12 ans ( taille 1m35 à 1m50) pour se rendre compte :   ou- 70cm des pédales à la selle et  ou - 68cm de la selle au shiffters.2 fois 7 vitesses avec levier de vitesse aux freinsConvient bien pour des balades en famille ou débuter la compétition en cyclisme ou triathlon .,190 €,"{'État': 'Bon état', 'Groupe': 'Shimano Claris', 'Taille du cadre': '44 cm', 'Diametre roues': '650', 'Matière principale': 'Aluminium', 'Couleurs principales': 'Beige, Jaune', 'Type de freinage': 'Patins', 'Pratique': 'Route', 'Nombres de vitesses': '7 vitesses'}",,,,,,,,,,,
i_00381,SWorks SPECIALIZED Aethos - SPECIALIZED - 68180,"Superbe SWorks Aethos , taille 54 ( je mesure 178cm). Équipé full Shimano Ultegra DI2 12v. Plateaux 52/36.  Cintre Alpinist 420mmx100mm.Manivelles en 172,5mm. Couleur Caméléon. Possibilité de vendre soit avec des roues Zipp 303s soit Alpinist CL2.. Selle Specialized Power. Superbe etat (pas de marque, pas de choc, pas de rayures) , idéal cyclosportif et montagne. Poids 6.8Kg",5000 €,"{'Année': '2022', 'État': 'Comme neuf', 'Groupe': 'Shimano Ultegra Di2', 'Taille du cadre': '54 cm', 'Diametre roues': '27.5""', 'Matière principale': 'Carbone', 'Couleurs principales': 'Multicolore', 'Type de freinage': 'Disques', 'Pratique': 'Route', 'Nombres de vitesses': '12 vitesses', 'Groupe électrique (AXS, Di2, eTap, ..)': 'Oui'}",/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00381_0.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00381_1.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00381_2.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00381_3.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00381_4.jpg,,,,,,
i_00382,VELO TEAM PRO  LAPIERRE - LAPIERRE - 33860,"XELIUS SL frein disque , shimano Ultegra Di2  11 vitesses. équipé 50/34 ou 53/39. 11/30roue shimano RS tubeless.",3500 €,"{'Année': '2021', 'État': 'Comme neuf', 'Groupe': 'Shimano Ultegra Di2', 'Taille du cadre': 'S/M', 'Diametre roues': '700 / 28""', 'Matière principale': 'Carbone', 'Couleurs principales': 'Noir', 'Type de freinage': 'Disques', 'Nombres de vitesses': '11 vitesses', 'Groupe électrique (AXS, Di2, eTap, ..)': 'Oui'}",/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00382_0.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00382_1.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00382_2.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00382_3.jpg,,,,,,,
i_00383,Vélo de route - Colnago C64 - Dura ACE Di2 - COLNAGO - 30000,"Vélo de route - Colnago C64Occasion - Excellent étatTaille Colnago 45 sGroupe Dura-Ace Di211 vitessesPédalier 50-34Cassette 11-30Roues Fulcrum AC3Selle Prologo Zero iiPrix : 3490€-- Morgan Cycles - 5 rue de l'Agau, 30000 Nîmes --> Spécialiste du vélo cargo depuis 2017, nous proposons un large choix de vélos : pliant, cargo, longtail, électrique, gravel, route, enfant, randonneuse, VTC, ... Ainsi qu'un grand éventail d'équipements cycle.",3490 €,"{'État': 'Très bon état', 'Groupe': 'Shimano Dura Ace Di2', 'Taille du cadre': 'S', 'Matière principale': 'Carbone', 'Couleurs principales': 'Noir, Blanc', 'Type de freinage': 'Patins', 'Groupe électrique (AXS, Di2, eTap, ..)': 'Oui'}",/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00383_0.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00383_1.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00383_2.jpg,,,,,,,,
i_00384,scott addict rc10 2019 - AUTRE - 13080,scott addict rc10tout equipe en dura ace 9100 52/36 et 11/30tout d'origine sauf le cintre j'ai mis un comboles roues et les etriers de frein sont 100% neufje les ai change des que j'ai reçu le velole pneus sont quasi neufchaine et cassette environ 1000km,1700 €,"{'Année': '2019', 'État': 'Très bon état', 'Groupe': 'Shimano Dura Ace', 'Taille du cadre': '52 cm', 'Diametre roues': '700 / 28""', 'Matière principale': 'Carbone', 'Couleurs principales': 'Jaune', 'Type de freinage': 'Patins', 'Pratique': 'Route', 'Nombres de vitesses': '11 vitesses', 'Groupe électrique (AXS, Di2, eTap, ..)': 'Non'}",/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00384_0.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00384_1.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00384_2.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00384_3.jpg,,,,,,,
i_00385,Cervelo P-series - AUTRE - 74370,"Taille 56 (je mesure 1m83)Shimano ultegra DI2 2x11vPédalier rotor 54/42, manivelles 170mmCassette ultegra 11v 11/30Freins hydrauliques TRP 160mm avant et arrièreSelle prologo dimension triRoues DT Swiss ARC 1600 62mm avant / 80mm arrièrePneu continental GP5000Gourde aéroRangement sur le tube horizontal ( chambre à air, gel, …)Gourde entre les deux prolongateursSupport gourde derrière selleSupport compteur garmin",4200 €,"{'Année': '2022', 'État': 'Très bon état', 'Groupe': 'Shimano Ultegra Di2', 'Taille du cadre': 'L', 'Diametre roues': '700 / 28""', 'Matière principale': 'Carbone', 'Couleurs principales': 'Noir, Blanc', 'Type de freinage': 'Disques', 'Pratique': 'Triathlon', 'Nombres de vitesses': '11 vitesses', 'Groupe électrique (AXS, Di2, eTap, ..)': 'Oui'}",/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00385_0.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00385_1.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00385_2.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00385_3.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00385_4.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00385_5.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00385_6.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00385_7.jpg,/Users/vloi/code/vloi/helperz/data_viz/data/4/img_tvlo/tvlo_00385_8.jpg,,
